"Name","Version","License","URL"
"Jinja2","3.1.6","BSD License","https://github.com/pallets/jinja/"
"MarkupSafe","3.0.3","BSD-3-Clause","https://github.com/pallets/markupsafe/"
"PTable","0.9.2","BSD License","https://github.com/kxxoling/PTable"
"PyYAML","6.0.3","MIT License","https://pyyaml.org/"
"RapidFuzz","3.14.3","MIT","https://github.com/rapidfuzz/RapidFuzz"
"annotated-types","0.7.0","MIT License","https://github.com/annotated-types/annotated-types"
"anyascii","0.3.3","ISC License (ISCL)","https://github.com/anyascii/anyascii"
"anyio","4.9.0","MIT License","https://anyio.readthedocs.io/en/stable/versionhistory.html"
"certifi","2025.1.31","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi"
"charset-normalizer","3.4.4","MIT","https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md"
"coverage","7.7.0","Apache Software License","https://github.com/nedbat/coveragepy"
"defusedxml","0.7.1","Python Software Foundation License","https://github.com/tiran/defusedxml"
"distro","1.9.0","Apache Software License","https://github.com/python-distro/distro"
"dotenv","0.9.9","UNKNOWN","https://github.com/pedroburon/dotenv"
"exceptiongroup","1.2.2","MIT License","https://github.com/agronholm/exceptiongroup/blob/main/CHANGES.rst"
"filelock","3.20.1","Unlicense","https://github.com/tox-dev/py-filelock"
"fsspec","2025.12.0","BSD-3-Clause","https://github.com/fsspec/filesystem_spec"
"h11","0.14.0","MIT License","https://github.com/python-hyper/h11"
"h5py","3.15.1","BSD-3-Clause","https://www.h5py.org/"
"hf-xet","1.2.0","Apache-2.0","https://github.com/huggingface/xet-core"
"httpcore","1.0.7","BSD License","https://www.encode.io/httpcore/"
"httpx","0.28.1","BSD License","https://github.com/encode/httpx"
"huggingface-hub","0.36.0","Apache Software License","https://github.com/huggingface/huggingface_hub"
"idna","3.10","BSD License","https://github.com/kjd/idna"
"iniconfig","2.0.0","MIT","https://github.com/pytest-dev/iniconfig"
"jiter","0.9.0","MIT License","https://github.com/pydantic/jiter/"
"langdetect","1.0.9","Apache Software License","https://github.com/Mimino666/langdetect"
"ml_dtypes","0.5.4","Apache-2.0","https://github.com/jax-ml/ml_dtypes"
"mpmath","1.3.0","BSD License","http://mpmath.org/"
"mypy","1.15.0","MIT License","https://www.mypy-lang.org/"
"mypy-extensions","1.0.0","MIT License","https://github.com/python/mypy_extensions"
"networkx","3.4.2","BSD License","https://networkx.org/"
"numpy","1.25.2","BSD License","https://www.numpy.org"
"onnx","1.20.0","Apache-2.0","https://onnx.ai/"
"openai","1.66.5","Apache Software License","https://github.com/openai/openai-python"
"opencv-python","4.11.0.86","Apache Software License","https://github.com/opencv/opencv-python"
"packaging","24.2","Apache Software License; BSD License","https://github.com/pypa/packaging"
"pika","1.3.2","BSD License","https://pika.readthedocs.io"
"pillow","12.0.0","MIT-CMU","https://python-pillow.github.io"
"pluggy","1.5.0","MIT License","https://github.com/pytest-dev/pluggy"
"protobuf","6.33.2","3-Clause BSD License","https://developers.google.com/protocol-buffers/"
"pyclipper","1.4.0","MIT License","https://github.com/fonttools/pyclipper"
"pydantic","2.10.6","MIT","https://github.com/pydantic/pydantic"
"pydantic_core","2.27.2","MIT License","https://github.com/pydantic/pydantic-core"
"pypdfium2","4.30.0","(Apache-2.0 OR BSD-3-Clause) AND LicenseRef-PdfiumThirdParty","https://github.com/pypdfium2-team/pypdfium2"
"pytest","8.3.5","MIT License","https://docs.pytest.org/en/latest/"
"pytest-cov","6.0.0","MIT License","https://github.com/pytest-dev/pytest-cov"
"pytest-mock","3.14.0","MIT License","https://github.com/pytest-dev/pytest-mock/"
"python-doctr","1.0.0","Apache Software License","https://github.com/mindee/doctr"
"python-dotenv","1.0.1","BSD License","https://github.com/theskumar/python-dotenv"
"requests","2.32.5","Apache Software License","https://requests.readthedocs.io"
"ruff","0.11.0","MIT License","https://docs.astral.sh/ruff"
"scipy","1.15.3","BSD License","https://scipy.org/"
"shapely","2.1.2","BSD License","https://github.com/shapely/shapely"
"six","1.17.0","MIT License","https://github.com/benjaminp/six"
"sniffio","1.3.1","Apache Software License; MIT License","https://github.com/python-trio/sniffio"
"sympy","1.14.0","BSD License","https://sympy.org"
"torch","2.1.1+cpu","BSD License","https://pytorch.org/"
"torchvision","0.16.1+cpu","BSD","https://github.com/pytorch/vision"
"tqdm","4.67.1","MIT License; Mozilla Public License 2.0 (MPL 2.0)","https://tqdm.github.io"
"typing_extensions","4.12.2","Python Software Foundation License","https://github.com/python/typing_extensions"
"urllib3","2.6.2","MIT","https://github.com/urllib3/urllib3/blob/main/CHANGES.rst"
"uuid","1.30","UNKNOWN","http://zesty.ca/python/"
"validators","0.35.0","MIT License","https://python-validators.github.io/validators"
